content,content_stem,score,target
"After using it for a month or two, am updating the stars for this portal. It's bad! Sellers are also always out of stock and they kept telling me to cancel my order. Looks like shoppee does not bother to vet their sellers. When I tried to contact shoppee via their ""contactus"" page, it will not submit. What a srewed up portal and customer contact page!!",use month two updat star portal also alway stock kept tell cancel order look like bother vet tri contact via contactu page submit srew portal custom contact page,1,1
World class app that will cancel your orders without informing you. World class help desk operator drop the line after they are unable to answer your question. If you wants your order to be cancelled without notice and get no answer for your question please download this app.,world class cancel order without inform world class help desk oper drop line unabl answer question want order cancel without notic get answer question pleas download,1,1
A bit disappointed. The watch I bought has no live battery and warranty card was not enclosed.,bit disappoint watch bought live batteri warranti card enclos,4,0
After waiting for so long the shop dealer tells me he does not have the product,wait long shop dealer tell product,2,1
"It said I cannot delete account and cannot delete my phone number too, so 
bad for user experience and customer support, support sucks, asking the 
same thing, no initiative to really understand user problem",said cannot delet account cannot delet phone number user experi custom support support suck ask thing initi realli understand user problem,1,1
"Suddenly this time when i click to make payment,the app keeps showing tab 
to reload n it loads n never work",suddenli time click make payment keep show tab reload n load n never work,3,1
"After the recent new updates, page will start flickering and freezed after 10mins of browsing and have to restart everything. Pls do fix it.",recent new updat page start flicker freez min brows restart everyth pl fix,2,1
"Been using the app since its launch where we spend hundreds to thousands yearly then met with an issue, emailed months back and the team still couldn't solve the issue, that's just sad man.",use sinc launch spend hundr thousand yearli met issu email month back team still solv issu sad man,1,1
User friendly. There are games to keep the users entertained while on the go.,user friendli game keep user entertain go,5,0
Very easy to use. Fuss free and smooth experience,easi use fuss free smooth experi,5,0
Many products and can be a seller! Good app.,mani product good,5,0
Error on credit card payment. Rectify please.,error credit card payment rectifi pleas,1,1
Great,great,4,0
"Very bad experience!!!!i do the online transfer payment to Shopee bank account,ans send them transaction receipt & event thought my bank transaction history?they still can not verify my payment! Slow and poor customer service!e-mail this and that so many times still can not settle for verify payment matter!",experi onlin transfer payment bank account an send transact receipt event thought bank transact histori still verifi payment slow poor custom servic e mail mani time still settl verifi payment matter,1,1
Easy to use,easi use,4,0
"Good. But sometime keep hang, app auto restart. Please fix it thanks",good sometim keep hang auto restart pleas fix thank,5,0
A good place to shop with or without budget. Choose wisely and you'll love shopee and make it a must to check in everyday! Great experience!,good place shop without budget choos wise love make must check everyday great experi,5,0
This app is not opening with samsung s10 plus,open samsung plu,1,1
Great. Thumb up,great thumb,5,0
"I having difficulty of purchasing due to your invalid account, can you please fix it to right account so that i can purchase it",difficulti purchas due invalid account pleas fix right account purchas,2,1
